,D009_GlobPlot,D009_GlobPlot,D009_GlobPlot,D009_GlobPlot,D025_RawMSA,D025_RawMSA,D025_RawMSA,D025_RawMSA,D033_DynaMine,D033_DynaMine,D033_DynaMine,D033_DynaMine
,tn,fp,fn,tp,tn,fp,fn,tp,tn,fp,fn,tp
0.898,,,,,281991.0,0.0,54571.0,33.0,,,,
0.897,,,,,281991.0,0.0,54542.0,62.0,,,,
0.896,,,,,281991.0,0.0,54508.0,96.0,,,,
0.895,,,,,281991.0,0.0,54459.0,145.0,,,,
0.894,,,,,281989.0,2.0,54426.0,178.0,,,,
0.893,,,,,281987.0,4.0,54384.0,220.0,,,,
0.892,,,,,281985.0,6.0,54348.0,256.0,,,,
0.891,,,,,281984.0,7.0,54307.0,297.0,,,,
0.89,,,,,281969.0,22.0,54234.0,370.0,,,,
0.889,,,,,281903.0,88.0,54150.0,454.0,,,,
0.888,,,,,281881.0,110.0,54051.0,553.0,,,,
0.887,,,,,281876.0,115.0,53947.0,657.0,,,,
0.886,,,,,281864.0,127.0,53840.0,764.0,,,,
0.885,,,,,281850.0,141.0,53759.0,845.0,,,,
0.884,,,,,281828.0,163.0,53683.0,921.0,,,,
0.883,,,,,281807.0,184.0,53608.0,996.0,,,,
0.882,,,,,281779.0,212.0,53525.0,1079.0,,,,
0.881,,,,,281748.0,243.0,53438.0,1166.0,,,,
0.88,,,,,281709.0,282.0,53330.0,1274.0,,,,
0.879,,,,,281673.0,318.0,53237.0,1367.0,,,,
0.878,,,,,281636.0,355.0,53164.0,1440.0,,,,
0.877,,,,,281594.0,397.0,53083.0,1521.0,,,,
0.876,,,,,281538.0,453.0,53013.0,1591.0,,,,
0.875,,,,,281498.0,493.0,52932.0,1672.0,,,,
0.874,,,,,281445.0,546.0,52839.0,1765.0,,,,
0.873,,,,,281399.0,592.0,52687.0,1917.0,,,,
0.872,,,,,281349.0,642.0,52442.0,2162.0,,,,
0.871,,,,,281303.0,688.0,52248.0,2356.0,,,,
0.87,,,,,281272.0,719.0,52083.0,2521.0,,,,
0.869,,,,,281224.0,767.0,51970.0,2634.0,,,,
0.868,,,,,281178.0,813.0,51883.0,2721.0,,,,
0.867,,,,,281124.0,867.0,51782.0,2822.0,,,,
0.866,,,,,281080.0,911.0,51714.0,2890.0,,,,
0.865,,,,,281029.0,962.0,51635.0,2969.0,,,,
0.864,,,,,280975.0,1016.0,51554.0,3050.0,,,,
0.863,,,,,280924.0,1067.0,51482.0,3122.0,,,,
0.862,,,,,280842.0,1149.0,51414.0,3190.0,,,,
0.861,,,,,280780.0,1211.0,51345.0,3259.0,,,,
0.86,,,,,280724.0,1267.0,51283.0,3321.0,,,,
0.859,,,,,280682.0,1309.0,51216.0,3388.0,,,,
0.858,,,,,280640.0,1351.0,51163.0,3441.0,,,,
0.857,,,,,280591.0,1400.0,51106.0,3498.0,,,,
0.856,,,,,280552.0,1439.0,51050.0,3554.0,,,,
0.855,,,,,280506.0,1485.0,50972.0,3632.0,,,,
0.854,,,,,280456.0,1535.0,50925.0,3679.0,,,,
0.853,,,,,280409.0,1582.0,50859.0,3745.0,,,,
0.852,,,,,280364.0,1627.0,50778.0,3826.0,,,,
0.851,,,,,280320.0,1671.0,50715.0,3889.0,,,,
0.85,,,,,280264.0,1727.0,50666.0,3938.0,,,,
0.849,,,,,280168.0,1823.0,50604.0,4000.0,,,,
0.848,,,,,280100.0,1891.0,50543.0,4061.0,,,,
0.847,,,,,280031.0,1960.0,50480.0,4124.0,,,,
0.846,,,,,279974.0,2017.0,50419.0,4185.0,,,,
0.845,,,,,279918.0,2073.0,50361.0,4243.0,,,,
0.844,,,,,279865.0,2126.0,50302.0,4302.0,,,,
0.843,,,,,279808.0,2183.0,50224.0,4380.0,,,,
0.842,,,,,279753.0,2238.0,50149.0,4455.0,,,,
0.841,,,,,279690.0,2301.0,50057.0,4547.0,,,,
0.84,,,,,279608.0,2383.0,49989.0,4615.0,,,,
0.839,,,,,279542.0,2449.0,49914.0,4690.0,,,,
0.838,,,,,279482.0,2509.0,49844.0,4760.0,,,,
0.837,,,,,279435.0,2556.0,49789.0,4815.0,,,,
0.836,,,,,279393.0,2598.0,49727.0,4877.0,,,,
0.835,,,,,279347.0,2644.0,49686.0,4918.0,,,,
0.834,,,,,279302.0,2689.0,49619.0,4985.0,,,,
0.833,,,,,279240.0,2751.0,49570.0,5034.0,,,,
0.832,,,,,279181.0,2810.0,49503.0,5101.0,,,,
0.831,,,,,279125.0,2866.0,49436.0,5168.0,,,,
0.83,,,,,279072.0,2919.0,49361.0,5243.0,,,,
0.829,,,,,279011.0,2980.0,49296.0,5308.0,,,,
0.828,,,,,278960.0,3031.0,49211.0,5393.0,,,,
0.827,,,,,278899.0,3092.0,49131.0,5473.0,,,,
0.826,,,,,278818.0,3173.0,49051.0,5553.0,,,,
0.825,,,,,278752.0,3239.0,48963.0,5641.0,,,,
0.824,,,,,278675.0,3316.0,48852.0,5752.0,,,,
0.823,,,,,278589.0,3402.0,48761.0,5843.0,,,,
0.822,,,,,278481.0,3510.0,48678.0,5926.0,,,,
0.821,,,,,278381.0,3610.0,48592.0,6012.0,,,,
0.82,,,,,278280.0,3711.0,48494.0,6110.0,,,,
0.819,,,,,278187.0,3804.0,48400.0,6204.0,,,,
0.818,,,,,278103.0,3888.0,48287.0,6317.0,,,,
0.817,,,,,278012.0,3979.0,48214.0,6390.0,,,,
0.816,,,,,277932.0,4059.0,48146.0,6458.0,,,,
0.815,,,,,277861.0,4130.0,48066.0,6538.0,,,,
0.814,,,,,277776.0,4215.0,47970.0,6634.0,,,,
0.813,,,,,277686.0,4305.0,47886.0,6718.0,,,,
0.812,,,,,277587.0,4404.0,47795.0,6809.0,,,,
0.811,,,,,277479.0,4512.0,47707.0,6897.0,,,,
0.81,,,,,277352.0,4639.0,47590.0,7014.0,,,,
0.809,,,,,277237.0,4754.0,47493.0,7111.0,,,,
0.808,,,,,277101.0,4890.0,47399.0,7205.0,,,,
0.807,,,,,276983.0,5008.0,47315.0,7289.0,,,,
0.806,,,,,276893.0,5098.0,47210.0,7394.0,,,,
0.805,,,,,276777.0,5214.0,47119.0,7485.0,,,,
0.804,,,,,276656.0,5335.0,47028.0,7576.0,,,,
0.803,,,,,276533.0,5458.0,46935.0,7669.0,,,,
0.802,,,,,276406.0,5585.0,46850.0,7754.0,,,,
0.801,,,,,276276.0,5715.0,46741.0,7863.0,,,,
0.8,,,,,276150.0,5841.0,46632.0,7972.0,,,,
0.799,,,,,276005.0,5986.0,46530.0,8074.0,,,,
0.798,,,,,275883.0,6108.0,46430.0,8174.0,,,,
0.797,,,,,275760.0,6231.0,46330.0,8274.0,,,,
0.796,,,,,275632.0,6359.0,46245.0,8359.0,,,,
0.795,,,,,275515.0,6476.0,46159.0,8445.0,,,,
0.794,,,,,275391.0,6600.0,46072.0,8532.0,,,,
0.793,,,,,275274.0,6717.0,45981.0,8623.0,,,,
0.792,,,,,275176.0,6815.0,45884.0,8720.0,,,,
0.791,,,,,275059.0,6932.0,45780.0,8824.0,,,,
0.79,,,,,274944.0,7047.0,45696.0,8908.0,,,,
0.789,,,,,274815.0,7176.0,45601.0,9003.0,,,,
0.788,,,,,274685.0,7306.0,45510.0,9094.0,,,,
0.787,,,,,274562.0,7429.0,45412.0,9192.0,,,,
0.786,,,,,274438.0,7553.0,45303.0,9301.0,,,,
0.785,,,,,274313.0,7678.0,45197.0,9407.0,,,,
0.784,,,,,274204.0,7787.0,45097.0,9507.0,,,,
0.783,,,,,274097.0,7894.0,44975.0,9629.0,,,,
0.782,,,,,273994.0,7997.0,44862.0,9742.0,,,,
0.781,,,,,273877.0,8114.0,44739.0,9865.0,,,,
0.78,,,,,273763.0,8228.0,44630.0,9974.0,,,,
0.779,,,,,273625.0,8366.0,44508.0,10096.0,,,,
0.778,,,,,273513.0,8478.0,44382.0,10222.0,,,,
0.777,,,,,273388.0,8603.0,44240.0,10364.0,,,,
0.776,,,,,273272.0,8719.0,44129.0,10475.0,,,,
0.775,,,,,273137.0,8854.0,44022.0,10582.0,,,,
0.774,,,,,272996.0,8995.0,43915.0,10689.0,,,,
0.773,,,,,272843.0,9148.0,43803.0,10801.0,,,,
0.772,,,,,272700.0,9291.0,43696.0,10908.0,,,,
0.771,,,,,272547.0,9444.0,43559.0,11045.0,,,,
0.77,,,,,272379.0,9612.0,43435.0,11169.0,,,,
0.769,,,,,272192.0,9799.0,43330.0,11274.0,,,,
