predictor,D009_GlobPlot,D009_GlobPlot,D025_RawMSA,D025_RawMSA,D033_DynaMine,D033_DynaMine
auc,0.231,0.231,0.414,0.414,0.271,0.271
aps,0.231,0.231,0.413,0.413,0.271,0.271
metric,tpr,ppv,tpr,ppv,tpr,ppv
1.898,,,0.0,1.0,,
1.727,,,,,0.0,1.0
1.468,0.0,1.0,,,,
0.898,,,0.001,1.0,,
0.897,,,0.001,1.0,,
0.896,,,0.002,1.0,,
0.895,,,0.003,1.0,,
0.894,,,0.003,0.989,,
0.893,,,0.004,0.982,,
0.892,,,0.005,0.977,,
0.891,,,0.005,0.977,,
0.89,,,0.007,0.944,,
0.889,,,0.008,0.838,,
0.888,,,0.01,0.834,,
0.887,,,0.012,0.851,,
0.886,,,0.014,0.857,,
0.885,,,0.015,0.857,,
0.884,,,0.017,0.85,,
0.883,,,0.018,0.844,,
0.882,,,0.02,0.836,,
0.881,,,0.021,0.828,,
0.88,,,0.023,0.819,,
0.879,,,0.025,0.811,,
0.878,,,0.026,0.802,,
0.877,,,0.028,0.793,,
0.876,,,0.029,0.778,,
0.875,,,0.031,0.772,,
0.874,,,0.032,0.764,,
0.873,,,0.035,0.764,,
0.872,,,0.04,0.771,,
0.871,,,0.043,0.774,,
0.87,,,0.046,0.778,,
0.869,,,0.048,0.774,,
0.868,,,0.05,0.77,,
0.867,,,0.052,0.765,,
0.866,,,0.053,0.76,,
0.865,,,0.054,0.755,,
0.864,,,0.056,0.75,,
0.863,,,0.057,0.745,,
0.862,,,0.058,0.735,,
0.861,,,0.06,0.729,,
0.86,,,0.061,0.724,,
0.859,,,0.062,0.721,,
0.858,,,0.063,0.718,,
0.857,,,0.064,0.714,,
0.856,,,0.065,0.712,,
0.855,,,0.067,0.71,,
0.854,,,0.067,0.706,,
0.853,,,0.069,0.703,,
0.852,,,0.07,0.702,,
0.851,,,0.071,0.699,,
0.85,,,0.072,0.695,,
0.849,,,0.073,0.687,,
0.848,,,0.074,0.682,,
0.847,,,0.076,0.678,,
0.846,,,0.077,0.675,,
0.845,,,0.078,0.672,,
0.844,,,0.079,0.669,,
0.843,,,0.08,0.667,,
0.842,,,0.082,0.666,,
0.841,,,0.083,0.664,,
0.84,,,0.085,0.659,,
0.839,,,0.086,0.657,,
0.838,,,0.087,0.655,,
0.837,,,0.088,0.653,,
0.836,,,0.089,0.652,,
0.835,,,0.09,0.65,,
0.834,,,0.091,0.65,,
0.833,,,0.092,0.647,,
0.832,,,0.093,0.645,,
0.831,,,0.095,0.643,,
0.83,,,0.096,0.642,,
0.829,,,0.097,0.64,,
0.828,,,0.099,0.64,,
0.827,,,0.1,0.639,,
0.826,,,0.102,0.636,,
0.825,,,0.103,0.635,,
0.824,,,0.105,0.634,,
0.823,,,0.107,0.632,,
0.822,,,0.109,0.628,,
0.821,,,0.11,0.625,,
0.82,,,0.112,0.622,,
0.819,,,0.114,0.62,,
0.818,,,0.116,0.619,,
