predictor,D009_GlobPlot,D009_GlobPlot,D025_RawMSA,D025_RawMSA,D033_DynaMine,D033_DynaMine
auc,0.624,0.624,0.78,0.78,0.707,0.707
metric,fpr,tpr,fpr,tpr,fpr,tpr
1.898,,,0.0,0.0,,
1.727,,,,,0.0,0.0
1.468,0.0,0.0,,,,
0.898,,,0.0,0.001,,
0.897,,,0.0,0.001,,
0.896,,,0.0,0.002,,
0.895,,,0.0,0.003,,
0.894,,,0.0,0.003,,
0.893,,,0.0,0.004,,
0.892,,,0.0,0.005,,
0.891,,,0.0,0.005,,
0.89,,,0.0,0.007,,
0.889,,,0.0,0.008,,
0.888,,,0.0,0.01,,
0.887,,,0.0,0.012,,
0.886,,,0.0,0.014,,
0.885,,,0.001,0.015,,
0.884,,,0.001,0.017,,
0.883,,,0.001,0.018,,
0.882,,,0.001,0.02,,
0.881,,,0.001,0.021,,
0.88,,,0.001,0.023,,
0.879,,,0.001,0.025,,
0.878,,,0.001,0.026,,
0.877,,,0.001,0.028,,
0.876,,,0.002,0.029,,
0.875,,,0.002,0.031,,
0.874,,,0.002,0.032,,
0.873,,,0.002,0.035,,
0.872,,,0.002,0.04,,
0.871,,,0.002,0.043,,
0.87,,,0.003,0.046,,
0.869,,,0.003,0.048,,
0.868,,,0.003,0.05,,
0.867,,,0.003,0.052,,
0.866,,,0.003,0.053,,
0.865,,,0.003,0.054,,
0.864,,,0.004,0.056,,
0.863,,,0.004,0.057,,
0.862,,,0.004,0.058,,
0.861,,,0.004,0.06,,
0.86,,,0.004,0.061,,
0.859,,,0.005,0.062,,
0.858,,,0.005,0.063,,
0.857,,,0.005,0.064,,
0.856,,,0.005,0.065,,
0.855,,,0.005,0.067,,
0.854,,,0.005,0.067,,
0.853,,,0.006,0.069,,
0.852,,,0.006,0.07,,
0.851,,,0.006,0.071,,
0.85,,,0.006,0.072,,
0.849,,,0.006,0.073,,
0.848,,,0.007,0.074,,
0.847,,,0.007,0.076,,
0.846,,,0.007,0.077,,
0.845,,,0.007,0.078,,
0.844,,,0.008,0.079,,
0.843,,,0.008,0.08,,
0.842,,,0.008,0.082,,
0.841,,,0.008,0.083,,
0.84,,,0.008,0.085,,
0.839,,,0.009,0.086,,
0.838,,,0.009,0.087,,
0.837,,,0.009,0.088,,
0.836,,,0.009,0.089,,
0.835,,,0.009,0.09,,
0.834,,,0.01,0.091,,
0.833,,,0.01,0.092,,
0.832,,,0.01,0.093,,
0.831,,,0.01,0.095,,
0.83,,,0.01,0.096,,
0.829,,,0.011,0.097,,
0.828,,,0.011,0.099,,
0.827,,,0.011,0.1,,
0.826,,,0.011,0.102,,
0.825,,,0.011,0.103,,
0.824,,,0.012,0.105,,
0.823,,,0.012,0.107,,
0.822,,,0.012,0.109,,
0.821,,,0.013,0.11,,
0.82,,,0.013,0.112,,
0.819,,,0.013,0.114,,
0.818,,,0.014,0.116,,
0.817,,,0.014,0.117,,
0.816,,,0.014,0.118,,
0.815,,,0.015,0.12,,
0.814,,,0.015,0.121,,
0.813,,,0.015,0.123,,
0.812,,,0.016,0.125,,
0.811,,,0.016,0.126,,
0.81,,,0.016,0.128,,
0.809,,,0.017,0.13,,
0.808,,,0.017,0.132,,
0.807,,,0.018,0.133,,
0.806,,,0.018,0.135,,
0.805,,,0.018,0.137,,
0.804,,,0.019,0.139,,
0.803,,,0.019,0.14,,
0.802,,,0.02,0.142,,
0.801,,,0.02,0.144,,
0.8,,,0.021,0.146,,
0.799,,,0.021,0.148,,
0.798,,,0.022,0.15,,
0.797,,,0.022,0.152,,
0.796,,,0.023,0.153,,
0.795,,,0.023,0.155,,
0.794,,,0.023,0.156,,
0.793,,,0.024,0.158,,
0.792,,,0.024,0.16,,
0.791,,,0.025,0.162,,
0.79,,,0.025,0.163,,
0.789,,,0.025,0.165,,
0.788,,,0.026,0.167,,
0.787,,,0.026,0.168,,
0.786,,,0.027,0.17,,
0.785,,,0.027,0.172,,
0.784,,,0.028,0.174,,
0.783,,,0.028,0.176,,
0.782,,,0.028,0.178,,
0.781,,,0.029,0.181,,
